swap_id,input_currency,input_amount,input_usd_value,intermediate_currency,intermediate_amount,intermediate_usd_value,output_currency,output_amount,output_usd_value,sender_address,receiver_address,status,commission
Unknown,,0,0,,,,,0,0,"","",Status,0
#10666975,USDT,200,5200.055,,,,BTC,450.05941639,5160.68,"https://etherscan.io/address/0x1895a3c49d074b5b8ec171191878616c9797f9f2","https://mempool.space/address/bc1qs4w7zl0tzza8jgg92heh9wtrfq6n34ladkrfyn",Success,2.6
#1066203200,USDC,1066203200,199.96198,,,,USDC,96198.26,198.24,"https://arbiscan.io/address/0x3f85431e92f2bd6b6445806e309fdd5a9d3248f4","https://etherscan.io/address/0xc6e6123407c1aa4656019a791c72e02429966f97",Success,199.96198
#10654890,ETH,10654890.17843887,500.54496,,,,USDC,54496.57,496.44,"https://etherscan.io/address/0x71d1567aecb9adb1bc41f1b91525344d0fafdf93","https://etherscan.io/address/0x71d1567aecb9adb1bc41f1b91525344d0fafdf93",Success,500.54496
#10653990,ETH,10653990.87553783,2446.832,,,,BTC,30.02810448,2428.4,"https://etherscan.io/address/0xe6da469ababb9b6409090ba00b32e2f0d6c9e230","https://mempool.space/address/bc1qk4rw6k6mslv7xgpau2yf83kspde8373w66sgje",Success,1.22
#10652200,ETH,10652200.04279982,119.92118,,,,BTC,680.00136592,118.22,"https://etherscan.io/address/0xe6da469ababb9b6409090ba00b32e2f0d6c9e230","https://mempool.space/address/bc1qcnj9j0dv5f9z8kud3mwktc2kkz5dcx6g7spa9c",Success,119.92118
#10650160,BTC,10650160.02375325,2052.782,,,,USDC,37.55,2036.99,"https://mempool.space/address/38HER1rcaSRb6UKnMBnqcpw6Nc2VJRc6EE","https://etherscan.io/address/0xbe4da9d72eeb9ec28ea3abcbccf7e1d369417c04",Success,1.02
#106361843,USDT,500,43501.4543,,,,ETH,7315.8464448,43219.12,"https://etherscan.io/address/0x067e1579a8be74e45a3c4ea9ca402f5a9fc9dc66","https://etherscan.io/address/0x067e1579a8be74e45a3c4ea9ca402f5a9fc9dc66",Success,21.72
#10616370,ETH,10616370.01,28.4127,,,,BTC,740.00031441,27.27,"https://etherscan.io/address/0x21ce19ea1ad8fcc194bd4cae571a6d936e12c857","https://mempool.space/address/bc1qckgess929aspph4v3c3s65eaca3nlhusmstgle",Success,28.4127
#10607530,ETH,10607530.1258,380.78378,,,,USDT,378.01,378.05,"https://etherscan.io/address/0x99ef21655fb1101056ee57efdce93660b433da14","https://etherscan.io/address/0x99ef21655fb1101056ee57efdce93660b433da14",Success,380.78378
#10602431,USDT,468.11,1468.221,,,,BTC,450.01591964,1456.88,"https://etherscan.io/address/0x8199a3ffb1c8c5558d33a5ca2f3f45c205a94e8c","https://mempool.space/address/bc1qe8jat9hmks3u0fjypfsjp4zangzxqzv0gqdjhz",Success,0.73
#10586260,BTC,10586260.1,9086.999,,,,USDC,18.27,9015.57,"https://mempool.space/address/bc1qjghr6sh344z8u4arxzdjw5f9yf42jqu2ar5vmx","https://etherscan.io/address/0xa06c62b5f5f632b829857a2c84f5eb8dfcd5eb1e",Success,4.54
#10571330,BTC,10571330.5,45301.6344,,,,USDC,995.86,44987.03,"https://mempool.space/address/3GjnqKbtcmM4QgCCK7QcqEFuz1wdXE4bKf","https://solscan.io/account/6vdZRFtXbq4uAQPxuMtPYSWUhdgCNfBieAUenPmRSfsr",Success,22.62
#10562970,ETH,10562970.3713,1126.861,,,,BTC,700.01228115,1117.27,"https://etherscan.io/address/0x473d065300fe4855206bbcf49f7d6d5b1d6e9559","https://mempool.space/address/1NqDJ8sYWAGdco2qZZNUiHmXAix62omeAn",Success,0.56
#10562601,USDC,850,1849.47,,,,BTC,470.02014752,1836.06,"https://etherscan.io/address/0x68243b99bfd8e1b5978fd8ecfe9039f7df786f4c","https://mempool.space/address/bc1qgt4f5mqwclpt46mhype6h5d03qdcgjxwfzzxzt",Success,0.92
#10561710,BTC,10561710.00149,135.73134,,,,ETH,200.04411337,134.15,"https://mempool.space/address/bc1qfqpw3nm5v60kwcv2kxk2t7jyyh2mx7zeyapnp7","https://etherscan.io/address/0x7fc973736511d68b26a71bda71bf1835e2ca8fe7",Success,135.73134
#1055730120,USDT,1055730120,120.03118,,,,BTC,780.00129577,118.11,"https://etherscan.io/address/0x8199a3ffb1c8c5558d33a5ca2f3f45c205a94e8c","https://mempool.space/address/bc1q48hyralzmd22v9ne5qxtpxece7kf8g3k5rfkqs",Success,120.03118
#105199710,USDT,0.43,9999.729,,,,BTC,450.10847728,9925.71,"https://etherscan.io/address/0x9d4304417d650eb1307555c85020efc3476a758f","https://mempool.space/address/bc1q46r82d85a8gvqxs2etlgh7f9yx08xmcqfh0xzh",Success,4.99
#1051681126,USDT,1051681126.48,126.47125,,,,BTC,170.00136143,124.5,"https://etherscan.io/address/0xfe3cd27ebb2e3242be0e7e607bd516b0f549ef6e","https://mempool.space/address/bc1qchtvwscgplschg2ytngwt6exy4t8zcwvle36cw",Success,126.47125
#10508630,ETH,10508630.091,272.6527,,,,USDT,13270.03,270.02,"https://etherscan.io/address/0x8199a3ffb1c8c5558d33a5ca2f3f45c205a94e8c","https://etherscan.io/address/0x8199a3ffb1c8c5558d33a5ca2f3f45c205a94e8c",Success,272.6527
#10505150,ETH,10505150.198,600.09595,,,,BTC,430.0065108,595.22,"https://etherscan.io/address/0x8199a3ffb1c8c5558d33a5ca2f3f45c205a94e8c","https://mempool.space/address/bc1qtkglrxrr8ffv94z38s67h0mcre4krp9skuz5mt",Success,600.09595
