swap_id,input_currency,input_amount,input_usd_value,intermediate_currency,intermediate_amount,intermediate_usd_value,output_currency,output_amount,output_usd_value,sender_address,receiver_address,status,commission,age_minutes,age_hours,age_days
Unknown,,0,0,,,,,0,0,"","",Status,0,0,0,0
#8291460,BTC,8291460.00559548,654.39648,,,,ETH,850.14378078,648.92,"https://mempool.space/address/bc1qyrj9dk5ty0q6lel3jtysskmjam4g8ljgj0lnc6","https://etherscan.io/address/0x569ad09a099820cf8ed7d2ed1a5213b8ffb6f0a6",Success,654.39648,0,0,76
#8289250,BTC,8289250.0065,761.11755,,,,ETH,390.16642334,754.75,"https://mempool.space/address/bc1qyrj9dk5ty0q6lel3jtysskmjam4g8ljgj0lnc6","https://etherscan.io/address/0x569ad09a099820cf8ed7d2ed1a5213b8ffb6f0a6",Success,761.11755,0,0,76
#8283800,BTC,8283800.004,466.51462,,,,SOL,821.95914887,462.73,"https://mempool.space/address/bc1qlcxrq8avlywy7pmxxgf9fsflqyha7dna4et3mw","https://solscan.io/account/J8czq1EWR2kdDfjiZo31a2JRytYYvN9m98Uygs88tuwM",Success,466.51462,0,0,76
#8281391,ETH,8281391.8,8120.058,,,,BTC,250.06900457,8068.95,"https://etherscan.io/address/0xa1150a01611eb0bba37852f3e04d5f80864617ea","https://mempool.space/address/bc1qzug0976qgw0gdamrxn876ulzehe83m733lyywm",Success,4.06,0,0,76
#8277570,BTC,8277570.005195,605.296,,,,SOL,402.52581818,600.62,"https://mempool.space/address/bc1qw6eeg8m7ptxw32wjs90vkfn7p73rcxuf69nuwe","https://solscan.io/account/3PTx91RvTRcfiBfSuXQKFMxBk9KzrWrkdxCYuLcXRqHR",Success,605.296,0,0,76
#8272370,BTC,8272370.006497,753.04747,,,,ETH,0.16708626,746.03,"https://mempool.space/address/bc1qys64fqfxumkcrwrs6ssq3c64exs4nxz7lsj2tx","https://etherscan.io/address/0x569ad09a099820cf8ed7d2ed1a5213b8ffb6f0a6",Success,753.04747,0,0,76
#8272010,BTC,8272010.08627234,9993.569,,,,ETH,552.22302367,9916.85,"https://mempool.space/address/bc1qcg2qu83tpt2pw2rwjmxqy29yzqewaq0rnpwq4x","https://etherscan.io/address/0x01927cd328dfca5fa344ddb4712a487e7e6ce38b",Success,4.98,0,0,76
#8271290,BTC,8271290.0049941,576.65572,,,,ETH,870.12831067,571.04,"https://mempool.space/address/bc1qh8yp7qdlgd6pdwm84skwlz3mvvvc7sdy5c8xnc","https://etherscan.io/address/0x569ad09a099820cf8ed7d2ed1a5213b8ffb6f0a6",Success,576.65572,0,0,76
#8270170,BTC,8270170.06,6917.806,,,,USDT,857.22,6857.76,"https://mempool.space/address/bc1q2tnqpm8pfyq7y2n3mqeu8s90new2y3fgfsfz96","https://etherscan.io/address/0xc284454e07b5343be63433cf00b1be9bb801868b",Success,3.45,0,0,76
#8269900,BTC,8269900.007,806.00799,,,,ETH,740.17960965,798.33,"https://mempool.space/address/bc1qh8yp7qdlgd6pdwm84skwlz3mvvvc7sdy5c8xnc","https://etherscan.io/address/0x569ad09a099820cf8ed7d2ed1a5213b8ffb6f0a6",Success,806.00799,0,0,76
#8268780,BTC,8268780.00086983,100.2098,,,,USDT,7597.46,97.48,"https://mempool.space/address/bc1qs9s4wkyzy3k8fw487ze0grgd03gf74tlzqn0wv","https://etherscan.io/address/0x09bcc058742c77ee4cd001a0759b3d3ca87f15cf",Success,100.2098,0,0,76
#8268270,BTC,8268270.063,7249.987,,,,USDT,182.23,7183.44,"https://mempool.space/address/bc1q4de6ufmn82ahr4sv9d0lwjk45cxtwts9am3x7q","https://etherscan.io/address/0xc284454e07b5343be63433cf00b1be9bb801868b",Success,3.61,0,0,76
#8266740,BTC,8266740.077,8884.388,,,,USDT,812.16,8813.52,"https://mempool.space/address/bc1q4de6ufmn82ahr4sv9d0lwjk45cxtwts9am3x7q","https://etherscan.io/address/0xc284454e07b5343be63433cf00b1be9bb801868b",Success,4.43,0,0,77
#8265640,BTC,8265640.085,9806.859,,,,USDT,723.97,9726.32,"https://mempool.space/address/bc1q4de6ufmn82ahr4sv9d0lwjk45cxtwts9am3x7q","https://etherscan.io/address/0xc284454e07b5343be63433cf00b1be9bb801868b",Success,4.89,0,0,77
#8265180,BTC,8265180.075,8657.748,,,,USDT,583.09,8585.27,"https://mempool.space/address/bc1q4de6ufmn82ahr4sv9d0lwjk45cxtwts9am3x7q","https://etherscan.io/address/0xc284454e07b5343be63433cf00b1be9bb801868b",Success,4.32,0,0,77
#8263140,BTC,8263140.00159774,184.60182,,,,ETH,690.04041657,182.33,"https://mempool.space/address/bc1qqqhlu4cacdmf0utr7fjfy5h3jnndu9dh26q83n","https://etherscan.io/address/0x569ad09a099820cf8ed7d2ed1a5213b8ffb6f0a6",Success,184.60182,0,0,77
#8258740,BTC,8258740.0043,497.61493,,,,USDC,61493.27,493.13,"https://mempool.space/address/bc1q5hcx34ee3ckngkqarwvmynxh87aj9zy868kt85","https://etherscan.io/address/0x5ab1d3dd97b17802a56bef9ff35f694b6143345d",Success,497.61493,0,0,77
#82569125,USDC,82569125,24.9924,,,,ETH,190.0053314,24.09,"https://solscan.io/account/3bvzg9dAQQBBi8iHoBq4o3YuALC3DGwRW8jgpQQP3GCZ","https://etherscan.io/address/0x339b4786505ff7846a8e7a1dc809928a997178c8",Success,24.9924,0,0,77
#8254690,BTC,8254690.00203751,234.80232,,,,ETH,430.05136338,232.22,"https://mempool.space/address/3F9sAQakp56xs7f5THRSS7mZA5obNA7QjR","https://etherscan.io/address/0xf6b1986a85f433482f396f99fb8856dd120afde3",Success,234.80232,0,0,77
#8254460,BTC,8254460.00866709,999.42991,,,,USDC,42991.73,991.54,"https://mempool.space/address/bc1qcg2qu83tpt2pw2rwjmxqy29yzqewaq0rnpwq4x","https://etherscan.io/address/0x01927cd328dfca5fa344ddb4712a487e7e6ce38b",Success,999.42991,0,0,77
#8253962,USDC,0,1999.6,,,,BTC,600.01719866,1985.02,"https://etherscan.io/address/0xa0545daa0da9abfe4c3b8c5873a763d7e3c7b24c","https://mempool.space/address/bc1qz8hfmfpqtpqy9t63u6srzlgx4qz7960rz0tvr2",Success,1,0,0,77
#82529011,USDC,20,11016.751,,,,USDC,939.52,10936.3,"https://arbiscan.io/address/0x71d1567aecb9adb1bc41f1b91525344d0fafdf93","https://etherscan.io/address/0x71d1567aecb9adb1bc41f1b91525344d0fafdf93",Success,5.5,0,0,77
#824800117,USDT,824800117,117.03115,,,,SOL,730.49681274,115.65,"https://etherscan.io/address/0x049f8ec9d1c9a38f551f0bfe8a92081a6e6cd635","https://solscan.io/account/F692h4AJc25vqFDecu6fqmNnsXNYjHoZ2FFFEe8Q8ox6",Success,117.03115,0,0,77
#824701504,USDC,824701504.01,503.875,,,,BTC,240.00433969,499.61,"https://arbiscan.io/address/0x67beb3dd509b88b706dc5a9f03f50006410b088b","https://mempool.space/address/bc1qtyce7j9z7weu42lg4q8yddm0tu3lalhmldqdk2",Success,503.875,0,0,77
#8236420,BTC,8236420.00219774,252.7725,,,,ETH,400.05513918,250.08,"https://mempool.space/address/bc1qnlc8r57v9ssy5jnclhrjwvfedzu3n6gdk4gzkc","https://etherscan.io/address/0x41f9db116a1e48b86da3779b6395aaa594d96423",Success,252.7725,0,0,78
#8228760,BTC,8228760.0035,405.38401,,,,SOL,871.68924998,401.55,"https://mempool.space/address/bc1qvl67pd5adf2zvf97zqstvruykrzqw98unraxc3","https://solscan.io/account/3RcdispfWLZZoX7B93LA72KykkNjtms1YtVPNPtyY9au",Success,405.38401,0,0,78
#8225220,BTC,8225220.00643574,748.99743,,,,ETH,60.15744919,733.67,"https://mempool.space/address/bc1qntzxgwqn3gfef545yt9m2rmlnke3hvwrr584qp","https://etherscan.io/address/0xf64076f1c2871f11b78d059d1496fd13222b89b5",Success,748.99743,0,0,78
#82222210,BTC,82222210.38,1198538.271,,,,ETH,51233.8840353,1086563.43,"https://mempool.space/address/bc1qe7ukk9h32q0697hgxvjl6mp8yrwda4cx9rxqyf","https://etherscan.io/address/0xb07ab50d8956c31363d42fb1134148dac7e1d53e",Partially Refunded110/120,548.6,0,0,78
#82196210,BTC,82196210,1152191.931,,,,ETH,5247.25587106,1144267.56,"https://mempool.space/address/bc1qe7ukk9h32q0697hgxvjl6mp8yrwda4cx9rxqyf","https://etherscan.io/address/0xb07ab50d8956c31363d42fb1134148dac7e1d53e",Success,576.05,0,0,78
#8215510,ETH,8215510.192,888.72882,,,,BTC,60.00759915,881.68,"https://etherscan.io/address/0xb8408917aeabcc1fc3bf89a57b584bf9be4a2636","https://mempool.space/address/bc1qwqmq6dyfgk3aweat3y2xjl58q8un7kt6df00f7",Success,888.72882,0,0,78
#8215061,SOL,8215061.7,412.27408,,,,BTC,670.00352129,408.26,"https://solscan.io/account/3RcdispfWLZZoX7B93LA72KykkNjtms1YtVPNPtyY9au","https://mempool.space/address/bc1qvl67pd5adf2zvf97zqstvruykrzqw98unraxc3",Success,412.27408,0,0,78
#8208071,USDC,529.31,1529.011,,,,USDT,517.63,1518.7,"https://etherscan.io/address/0xe66b92216e6a7c01e31ae9bfa3dcab83e78ff83f","https://etherscan.io/address/0xe66b92216e6a7c01e31ae9bfa3dcab83e78ff83f",Success,0.76,0,0,78
#8192760,BTC,8192760.00665774,769.12763,,,,ETH,920.16524928,762.72,"https://mempool.space/address/bc1qh762m68xaw0u4nezv3qy38ta7rl2gfffr4zcc0","https://etherscan.io/address/0xf7090d991b7892fa739b3cc115936d632720b49c",Success,769.12763,0,0,78
#8185900,BTC,8185900.002,232.04229,,,,ETH,740.04938928,229.67,"https://mempool.space/address/bc1qxwhj550wp9gcag8vnm9wemqzgqgqfsxpu39a62","https://etherscan.io/address/0x8c669ae4befef23e6dc7ae415bf90eb8985ff9ce",Success,232.04229,0,0,79
#8179820,BTC,8179820.001,115.96114,,,,ETH,450.02445606,114.41,"https://mempool.space/address/bc1qes8r4pj2z88l5z0k8kfrxsyx3362vjeg478c9a","https://etherscan.io/address/0x954153aea455ac73f1c8b9aecf8defe1ef1b2993",Success,115.96114,0,0,79
#8178017,BTC,8178017.8188,905472.08898,,,,USDT,763.37,897373,"https://mempool.space/address/bc1qhlzjessthngy4h6agannzccrdg72sygdmugf4u","https://etherscan.io/address/0xbdd0ef717171f5eda9e0b28af5b47d39c63387ec",Success,451.94,0,0,79
#8173757,BTC,8173757.183,833945.97826,,,,USDT,117.54,826574.54,"https://mempool.space/address/bc1qzpmffsesqrjn7mzkh2crg755scwfadpcksm7sn","https://etherscan.io/address/0xbdd0ef717171f5eda9e0b28af5b47d39c63387ec",Success,415.86,0,0,79
