DATE,Amount,Asset
4/20/2025,"208,333.33",FOX (FOX)
4/20/2025,"104,166.67",FOX (FOX)
3/24/2025,"208,333.33",FOX (FOX)
3/24/2025,"104,166.67",FOX (FOX)
3/8/2025,"104,166.67",FOX (FOX)
3/8/2025,"208,333.33",FOX (FOX)
3/8/2025,"104,166.67",FOX (FOX)
3/6/2025,"104,166.67",FOX (FOX)
3/6/2025,"208,333.33",FOX (FOX)
3/5/2025,"104,166.67",FOX (FOX)
3/4/2025,"104,166.67",FOX (FOX)
3/4/2025,"208,333.33",FOX (FOX)
3/3/2025,"104,166.67",FOX (FOX)
3/2/2025,"104,166.67",FOX (FOX)
3/2/2025,"208,333.33",FOX (FOX)
3/1/2025,"104,166.67",FOX (FOX)
2/28/2025,"104,166.67",FOX (FOX)
2/28/2025,"208,333.33",FOX (FOX)
2/27/2025,"104,166.67",FOX (FOX)
2/26/2025,"104,166.67",FOX (FOX)
2/26/2025,"208,333.33",FOX (FOX)
2/25/2025,"104,166.67",FOX (FOX)
2/24/2025,"104,166.67",FOX (FOX)
2/24/2025,"208,333.33",FOX (FOX)
2/23/2025,"104,166.67",FOX (FOX)
2/28/2025,"104,166.67",FOX (FOX)
2/28/2025,"208,333.33",FOX (FOX)
2/27/2025,"104,166.67",FOX (FOX)
2/26/2025,"104,166.67",FOX (FOX)
2/26/2025,"208,333.33",FOX (FOX)
2/25/2025,"104,166.67",FOX (FOX)
2/24/2025,"104,166.67",FOX (FOX)
2/24/2025,"208,333.33",FOX (FOX)
2/23/2025,"104,166.67",FOX (FOX)
2/22/2025,"104,166.67",FOX (FOX)
2/22/2025,"208,333.33",FOX (FOX)
2/21/2025,"104,166.67",FOX (FOX)
2/20/2025,"104,166.67",FOX (FOX)
2/20/2025,"208,333.33",FOX (FOX)
2/19/2025,"104,166.67",FOX (FOX)
2/18/2025,"104,166.67",FOX (FOX)
2/18/2025,"208,333.33",FOX (FOX)
2/17/2025,"104,166.67",FOX (FOX)
2/16/2025,"104,166.67",FOX (FOX)
2/16/2025,"208,333.33",FOX (FOX)
2/15/2025,"104,166.67",FOX (FOX)
2/14/2025,"104,166.67",FOX (FOX)
2/14/2025,"208,333.33",FOX (FOX)
2/13/2025,"104,166.67",FOX (FOX)
