tx_hash,timestamp,block_height,type,status,from_address,from_amount,from_asset,to_address,to_amount,to_asset,affiliate_address,raw_row_text,action,captured_at
,,,,,,,,,,,,"6C65
…
EBAE
21,948,053
thor
…
6qdz
0x32
…
89a9
	
Add
	
0.04590221
RUNE
ETH.THOR
	
Success
	
Jul 13 2025 09:48:57 PM (GMT-7)",,
,,,,,,,,,,,,"ACF2
…
CDBD
21,947,841
0xe1
…
ef8c
0xE1
…
eF8c
	
Swap
	
0.2
ETH
604.972569
USDT
	
Success
	
Jul 13 2025 09:27:16 PM (GMT-7)",,
,,,,,,,,,,,,"50B9
…
7F1B
21,947,545
0xff
…
7a2b
thor
…
cx8p
	
Swap
	
1,000
USDC
4,388.79
TCY
	
Success
	
Jul 13 2025 08:56:51 PM (GMT-7)",,
,,,,,,,,,,,,"17AB
…
1670
21,947,291
0x32
…
89a9
thor
…
6qdz
	
Swap
	
5
USDC
3.186753
RUNE
	
Success
	
Jul 13 2025 08:30:52 PM (GMT-7)",,
,,,,,,,,,,,,"F258
…
EFAA
21,946,789
0x19
…
e4eb
thor
…
eeg4
	
Swap
	
20,000
USDC
88,364.43
TCY
	
Success
	
Jul 13 2025 07:39:27 PM (GMT-7)",,
,,,,,,,,,,,,"5257
…
EA44
21,946,649
thor
…
yvkc
bc1q
…
7cgg
	
Swap
	
128,607.85
TCY
0.22096936
BTC
	
Success
	
Jul 13 2025 07:25:04 PM (GMT-7)",,
,,,,,,,,,,,,"115F
…
A4B5
21,946,489
thor
…
yvkc
0x7b
…
a5db
	
Swap
	
110,597.83
TCY
7.98242308
ETH
	
Success
	
Jul 13 2025 07:08:30 PM (GMT-7)",,
,,,,,,,,,,,,"FBB6
…
8412
21,945,987
thor
…
yvkc
bc1q
…
z9vq
	
Swap
	
50,000
TCY
0.09406171
BTC
	
Success
	
Jul 13 2025 06:17:11 PM (GMT-7)",,
,,,,,,,,,,,,"F900
…
9AE2
21,945,807
cosm
…
qc4m
qp7l
…
axx7
	
Swap
	
89
ATOM
0.8158132
BCH
	
Success
	
Jul 13 2025 05:58:28 PM (GMT-7)",,
,,,,,,,,,,,,"12AA
…
F31E
21,943,284
d9hr
…
y3ye
0x4a
…
89b6
	
Swap
	
250
DOGE
48.983309
USDC
	
Success
	
Jul 13 2025 01:38:59 PM (GMT-7)",,
,,,,,,,,,,,,"8452
…
A3E2
21,943,191
d9hr
…
y3ye
0x4a
…
89b6
	
Swap
	
250
DOGE
49.12873
USDT
	
Success
	
Jul 13 2025 01:29:25 PM (GMT-7)",,
,,,,,,,,,,,,"D67B
…
531E
21,942,685
bc1q
…
vk32
0xC3
…
1c05
	
Swap
	
0.0055
BTC
0.21679012
ETH
	
Success
	
Jul 13 2025 12:37:38 PM (GMT-7)",,
,,,,,,,,,,,,"5588
…
18B0
21,942,685
bc1q
…
4qfy
0x01
…
E38b
	
Swap
	
0.56
BTC
66,210.06
USDC
	
Success
	
Jul 13 2025 12:37:38 PM (GMT-7)",,
,,,,,,,,,,,,"2325
…
174E
21,941,624
bc1q
…
mja7
0x01
…
E38b
	
Swap
	
0.5
BTC
58,967.28
USDC
	
Success
	
Jul 13 2025 10:48:30 AM (GMT-7)",,
,,,,,,,,,,,,"679A
…
164E
21,941,077
bc1q
…
4dgh
0xe3
…
FB97
	
Swap
	
0.42091439
BTC
49,548.66
USDC
	
Success
	
Jul 13 2025 09:52:19 AM (GMT-7)",,
,,,,,,,,,,,,"B0A5
…
0430
21,939,733
0x77
…
5e72
bc1q
…
untl
	
Swap
	
5.0021
ETH
0.12522494
BTC
	
Success
	
Jul 13 2025 07:34:30 AM (GMT-7)",,
,,,,,,,,,,,,"4478
…
33E1
21,939,609
qppr
…
8jn8
bc1q
…
mq4p
	
Swap
	
1.89767235
BCH
0.00806938
BTC
	
Success
	
Jul 13 2025 07:21:51 AM (GMT-7)",,
,,,,,,,,,,,,"6C0B
…
88E1
21,939,113
3fec
…
plrr
0x9c
…
8840
	
Swap
	
0.00639747
BTC
755.435421
USDT
	
Pending
	
Jul 13 2025 06:31:27 AM (GMT-7)",,
,,,,,,,,,,,,"C411
…
703E
21,938,968
thor
…
n2fq
0x8c
…
414d
	
Swap
	
13,657
RUJI
12,416.91
USDC
	
Success
	
Jul 13 2025 06:16:44 AM (GMT-7)",,
,,,,,,,,,,,,"D075
…
B58F
21,937,194
bc1q
…
leam
0x7F
…
a4bE
	
Swap
	
0.077
BTC
9,004.23
USDC
	
Success
	
Jul 13 2025 03:16:14 AM (GMT-7)",,
,,,,,,,,,,,,"64D0
…
06BA
21,936,969
0xf8
…
54d7
bc1q
…
36l3
	
Swap
	
273.085319
USDT
0.0022915
BTC
	
Success
	
Jul 13 2025 02:53:26 AM (GMT-7)",,
,,,,,,,,,,,,"7917
…
2FE4
21,936,412
bc1q
…
leam
0x7F
…
a4bE
	
Swap
	
0.01
BTC
1,169.01
USDC
	
Success
	
Jul 13 2025 01:56:52 AM (GMT-7)",,
,,,,,,,,,,,,"E78C
…
4EDF
21,934,555
thor
…
9ux4
cosm
…
6n0s
	
Swap
	
1
RUNE
0.106488
ATOM
	
Success
	
Jul 12 2025 10:48:43 PM (GMT-7)",,
,,,,,,,,,,,,"2273
…
0209
21,934,460
thor
…
9ux4
ltc1
…
0m8f
	
Swap
	
1
RUNE
0.00523831
LTC
	
Success
	
Jul 12 2025 10:39:04 PM (GMT-7)",,
,,,,,,,,,,,,"EFBE
…
808F
21,934,287
cosm
…
tmqc
0xd0
…
fB03
	
Swap
	
90
ATOM
412.229162
USDT
	
Success
	
Jul 12 2025 10:21:34 PM (GMT-7)",,
,TimeJul 09 2025 09:40:59 AM (GMT-7),3,TypeSwap,StatusSuccess,,,,,,,ss,"Info3E4A…9F2421,884,173bc1q…dzmaltc1…vt09TypeSwapAction0.00917145BTC11.20742389LTCStatusSuccessTimeJul 09 2025 09:40:59 AM (GMT-7)",Action0.00917145BTC11.20742389LTC,2025-07-09T17:12:11.769Z
,TimeJul 09 2025 05:35:08 AM (GMT-7),18,TypeSwap,StatusSuccess,,,,,,,ss,"Info18DE…0E3A21,881,760bc1q…sk3eltc1…rra9TypeSwapAction0.00916228BTC11.21584715LTCStatusSuccessTimeJul 09 2025 05:35:08 AM (GMT-7)",Action0.00916228BTC11.21584715LTC,2025-07-09T17:12:11.769Z
,TimeJul 09 2025 05:14:22 AM (GMT-7),99,TypeSwap,StatusSuccess,,,,,,,ss,"Info99EC…761521,881,556bc1q…lxvlltc1…rra9TypeSwapAction0.00903048BTC11.03159138LTCStatusSuccessTimeJul 09 2025 05:14:22 AM (GMT-7)",Action0.00903048BTC11.03159138LTC,2025-07-09T17:12:11.769Z
,TimeJul 09 2025 05:13:40 AM (GMT-7),39,TypeSwap,StatusSuccess,,,,,,,ss,"Info39FA…813121,881,5490xa4…aa950xa4…aa95TypeSwapAction500USDT7,678.72THORStatusSuccessTimeJul 09 2025 05:13:40 AM (GMT-7)","Action500USDT7,678.72THOR",2025-07-09T17:12:11.769Z
,TimeJul 08 2025 08:41:06 PM (GMT-7),94,TypeSwap,StatusSuccess,,,,,,,ss,"Info94E4…B45621,876,5120xed…96bcbc1q…9f68TypeSwapAction3,906.71FOX0.00083342BTCStatusSuccessTimeJul 08 2025 08:41:06 PM (GMT-7)","Action3,906.71FOX0.00083342BTC",2025-07-09T17:12:11.769Z
,TimeJul 08 2025 08:37:27 PM (GMT-7),9,TypeSwap,StatusSuccess,,,,,,,ss,"InfoFA9B…CAAB21,876,476thor…5srgbc1q…9f68TypeSwapAction467.57007851TCY0.00101384BTCStatusSuccessTimeJul 08 2025 08:37:27 PM (GMT-7)",Action467.57007851TCY0.00101384BTC,2025-07-09T17:12:11.769Z
,TimeJul 08 2025 07:32:14 PM (GMT-7),0,TypeSwap,StatusSuccess,,,,,,,ss,"InfoF0FA…DA6A21,875,833thor…wjrr0x01…3E09TypeSwapAction1,000RUNE1,342.59USDCStatusSuccessTimeJul 08 2025 07:32:14 PM (GMT-7)","Action1,000RUNE1,342.59USDC",2025-07-09T17:12:11.769Z
,TimeJul 08 2025 07:26:04 PM (GMT-7),50,TypeSwap,StatusSuccess,,,,,,,ss,"Info50E3…610F21,875,772thor…wjrr0x01…3E09TypeSwapAction3,000RUNE4,015.58USDCStatusSuccessTimeJul 08 2025 07:26:04 PM (GMT-7)","Action3,000RUNE4,015.58USDC",2025-07-09T17:12:11.769Z
,TimeJul 08 2025 05:07:47 PM (GMT-7),56,TypeAdd,StatusSuccess,,,,,,,ss,"InfoE56F…55BA21,874,4100x3d…dd3athor…v3r8TypeAddAction4.000388USDCAVAX.USDCStatusSuccessTimeJul 08 2025 05:07:47 PM (GMT-7)",Action4.000388USDCAVAX.USDC,2025-07-09T17:12:11.769Z
,TimeJul 08 2025 05:03:37 PM (GMT-7),3,TypeAdd,StatusSuccess,,,,,,,ss,"Info3F25…C9E221,874,369thor…v3r80x3d…dd3aTypeAddAction2.96119561RUNEAVAX.USDCStatusSuccessTimeJul 08 2025 05:03:37 PM (GMT-7)",Action2.96119561RUNEAVAX.USDC,2025-07-09T17:12:11.769Z
,TimeJul 08 2025 03:48:53 PM (GMT-7),511,TypeSwap,StatusSuccess,,,,,,,ss,"InfoB511…D10921,873,632thor…7tkc0x9D…8Dc8TypeSwapAction9.7RUNE0.00462586ETHStatusSuccessTimeJul 08 2025 03:48:53 PM (GMT-7)",Action9.7RUNE0.00462586ETH,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 02:13:40 PM (GMT-7),8,TypeSwap,StatusSuccess,,,,,,,ss,"Info8F61…FF4621,872,6960x01…a209thor…jtfjTypeSwapAction0.00490499ETH0StatusSuccessTimeJul 08 2025 02:13:40 PM (GMT-7)",Action0.00490499ETH0,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 02:10:13 PM (GMT-7),0,TypeSwap,StatusSuccess,,,,,,,ss,"Info0B53…F0C921,872,6620x01…a209thor…jtfjTypeSwapAction700FOX0StatusSuccessTimeJul 08 2025 02:10:13 PM (GMT-7)",Action700FOX0,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 02:00:41 PM (GMT-7),95,TypeSwap,StatusSuccess,,,,,,,ss,"Info95D9…374D21,872,5680x01…a209thor…jtfjTypeSwapAction0.00422066ETH0StatusSuccessTimeJul 08 2025 02:00:41 PM (GMT-7)",Action0.00422066ETH0,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 10:37:28 AM (GMT-7),80,TypeSwap,StatusSuccess,,,,,,,ss,"Info80DD…B86F21,870,572thor…9pxeltc1…vpkpTypeSwapAction79.83088235RUNE1.2214873LTCStatusSuccessTimeJul 08 2025 10:37:28 AM (GMT-7)",Action79.83088235RUNE1.2214873LTC,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 09:56:01 AM (GMT-7),332,TypeSwap,StatusSuccess,,,,,,,ss,"InfoA332…413721,870,165thor…g25l0xcc…ff0aTypeSwapAction50RUNE0.02537436ETHStatusSuccessTimeJul 08 2025 09:56:01 AM (GMT-7)",Action50RUNE0.02537436ETH,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 09:48:08 AM (GMT-7),8,TypeSwap,StatusSuccess,,,,,,,ss,"InfoFE8E…1D9D21,870,089thor…g25l0xcc…ff0aTypeSwapAction950RUNE1,258.3USDCStatusSuccessTimeJul 08 2025 09:48:08 AM (GMT-7)","Action950RUNE1,258.3USDC",2025-07-09T17:12:11.770Z
,TimeJul 08 2025 07:08:24 AM (GMT-7),32,TypeSwap,StatusSuccess,,,,,,,ss,"Info32EE…EF7621,868,517bc1q…04r40xD4…9B9BTypeSwapAction0.00360289BTC387.579952USDTStatusSuccessTimeJul 08 2025 07:08:24 AM (GMT-7)",Action0.00360289BTC387.579952USDT,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 06:56:21 AM (GMT-7),4,TypeSwap,StatusSuccess,,,,,,,ss,"InfoF4B3…790821,868,398ltc1…fypvthor…7s56TypeSwapAction0.57710065LTC207.90424544TCYStatusSuccessTimeJul 08 2025 06:56:21 AM (GMT-7)",Action0.57710065LTC207.90424544TCY,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 06:13:16 AM (GMT-7),7,TypeSwap,StatusSuccess,,,,,,,ss,"InfoAF7D…9F8F21,867,9750x77…5e72bc1q…tlszTypeSwapAction5ETH0.11761978BTCStatusSuccessTimeJul 08 2025 06:13:16 AM (GMT-7)",Action5ETH0.11761978BTC,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 03:13:06 AM (GMT-7),1,TypeSwap,StatusSuccess,,,,,,,ss,"Info1DF2…0C4C21,866,2010x10…94790x10…9479TypeSwapAction0.55865921AVAX8.952206USDTStatusSuccessTimeJul 08 2025 03:13:06 AM (GMT-7)",Action0.55865921AVAX8.952206USDT,2025-07-09T17:12:11.770Z
,TimeJul 08 2025 01:13:06 AM (GMT-7),94,TypeSwap,StatusSuccess,,,,,,,ss,"InfoFD94…0D7A21,865,018cosm…2rkfqzau…yf9xTypeSwapAction51ATOM0.40630013BCHStatusSuccessTimeJul 08 2025 01:13:06 AM (GMT-7)",Action51ATOM0.40630013BCH,2025-07-09T17:12:11.770Z
,TimeJul 07 2025 10:24:49 PM (GMT-7),93,TypeSwap,StatusSuccess,,,,,,,ss,"Info93DB…BA8621,863,359cosm…8pvdqqyg…wn8aTypeSwapAction50ATOM0.39716974BCHStatusSuccessTimeJul 07 2025 10:24:49 PM (GMT-7)",Action50ATOM0.39716974BCH,2025-07-09T17:12:11.770Z
,TimeJul 07 2025 09:47:44 AM (GMT-7),4,TypeSwap,StatusSuccess,,,,,,,ss,"Info4C76…81F921,855,951thor…ehsw0xA3…2479TypeSwapAction2,500TCY566.69307USDTStatusSuccessTimeJul 07 2025 09:47:44 AM (GMT-7)","Action2,500TCY566.69307USDT",2025-07-09T17:12:11.770Z
,TimeJul 07 2025 08:46:06 AM (GMT-7),1,TypeSwap,StatusSuccess,,,,,,,ss,"Info1FB3…3F9721,855,3490x40…96e7bc1q…j6lmTypeSwapAction20,000USDT0.18331459BTCStatusSuccessTimeJul 07 2025 08:46:06 AM (GMT-7)","Action20,000USDT0.18331459BTC",2025-07-09T17:12:11.770Z
184E770B41D8D574EB95C65ED077A82E7020085ADADED381E24117C71BBE9D54,Nov 03 2025 11:29:50 PM (GMT+7),1849542352546104896,Swap,Success,0x4aeb1cbc8c9cd211a2bac18b882c2d6776e289b6,50,USDT,DQavWVU8G8xWNyCWRkWj7MD8dNb6dkZrbz,293.61589786,DOGE,"184E
…
9D54
23,525,461
0x4a
…
89b6
DQav
…
Zrbz","184E
…
9D54
23,525,461
0x4a
…
89b6
DQav
…
Zrbz
	
Swap
	
50
USDT
293.61589786
DOGE
	
Success
	
Nov 03 2025 11:29:50 PM (GMT+7)",,
DFB8E022D9079641059F6BBFB749772B67FC1E82B236FE2A8466171767317314,Nov 03 2025 09:00:19 PM (GMT+7),873142352403304234,Swap,Success,0x4c475c02369fbaf66d34f838265c30e15662234b,500,USDC,"DFB8
…
7314
23,524,033
0x4c
…
234b",28.29539073,AVAX,"DFB8
…
7314
23,524,033","DFB8
…
7314
23,524,033
0x4c
…
234b
	
Swap
	
500
USDC
28.29539073
AVAX
	
Success
	
Nov 03 2025 09:00:19 PM (GMT+7)",,
4B8522ECF0A6C7D07BC8B693C1F6094ADD92915BBD65EB9691A376116EB4EAF8,Nov 03 2025 08:33:54 PM (GMT+7),4858235237797041634,Swap,Success,lb7x927c5ryktk5ohxm7rrvqd514riyjwj,0.2,LTC,0xE43fC522b8a8fF75BBA3fA90C0aB13FbD7a81634,0.01771848,BNB,"4B85
…
EAF8
23,523,779
lb7x
…
yjwj
0xE4
…
1634","4B85
…
EAF8
23,523,779
lb7x
…
yjwj
0xE4
…
1634
	
Swap
	
0.2
LTC
0.01771848
BNB
	
Success
	
Nov 03 2025 08:33:54 PM (GMT+7)",,
E345BC5BF0FA4AB9858BBA046192232F09F1F911A4AEEB2D2D8351B7D44BA8B3,Nov 03 2025 08:17:19 PM (GMT+7),345832352361944,Swap,Success,cosmos14cdzhp88m6h42a5ddgldxrpstrqu23epcjqc4m,51,ATOM,qrp4p7e626a6mm44kc87a75spr2fnd337v6jshrwqn,0.26741229,BCH,"E345
…
A8B3
23,523,619
cosm
…
qc4m
qrp4
…
rwqn","E345
…
A8B3
23,523,619
cosm
…
qc4m
qrp4
…
rwqn
	
Swap
	
51
ATOM
0.26741229
BCH
	
Success
	
Nov 03 2025 08:17:19 PM (GMT+7)",,
